IOCTL_HID_WRITE_REPORT	0xb000f
IOCTL_IDE_PASS_THROUGH	0x4d028
IOCTL_IEEE1284_GET_MODE	0x160014
IOCTL_IEEE1284_NEGOTIATE	0x160018
IOCTL_IEEE1394_API_REQUEST	0x220400
IOCTL_INTERNAL_BTHENUM_GET_DEVINFO	0x41000b
IOCTL_INTERNAL_BTHENUM_GET_ENUMINFO	0x410007
IOCTL_INTERNAL_BTH_SUBMIT_BRB	0x410003
IOCTL_INTERNAL_DESELECT_DEVICE	0x160060
IOCTL_INTERNAL_DISABLE_END_OF_CHAIN_BUS_RESCAN	0x1600d8
IOCTL_INTERNAL_DISCONNECT_IDLE	0x160080
IOCTL_INTERNAL_ENABLE_END_OF_CHAIN_BUS_RESCAN	0x1600dc
IOCTL_INTERNAL_GET_MORE_PARALLEL_PORT_INFO	0x160044
IOCTL_INTERNAL_GET_PARALLEL_PNP_INFO	0x160054
IOCTL_INTERNAL_GET_PARALLEL_PORT_INFO	0x160030
IOCTL_INTERNAL_GET_PARPORT_FDO	0x160074
IOCTL_INTERNAL_I8042_CONTROLLER_WRITE_BUFFER	0xb3fcb
IOCTL_INTERNAL_I8042_HOOK_KEYBOARD	0xb3fc3
IOCTL_INTERNAL_I8042_HOOK_MOUSE	0xf3fc3
IOCTL_INTERNAL_I8042_KEYBOARD_START_INFORMATION	0xb3fcf
IOCTL_INTERNAL_I8042_KEYBOARD_WRITE_BUFFER	0xb3fc7
IOCTL_INTERNAL_I8042_MOUSE_START_INFORMATION	0xf3fcf
IOCTL_INTERNAL_I8042_MOUSE_WRITE_BUFFER	0xf3fc7
IOCTL_INTERNAL_INIT_1284_3_BUS	0x160058
IOCTL_INTERNAL_KEYBOARD_CONNECT	0xb0203
IOCTL_INTERNAL_KEYBOARD_DISABLE	0xb1003
IOCTL_INTERNAL_KEYBOARD_DISCONNECT	0xb0403
IOCTL_INTERNAL_KEYBOARD_ENABLE	0xb0803
IOCTL_INTERNAL_LOCK_PORT	0x160094
IOCTL_INTERNAL_LOCK_PORT_NO_SELECT	0x1600d0
IOCTL_INTERNAL_MOUSE_CONNECT	0xf0203
IOCTL_INTERNAL_MOUSE_DISABLE	0xf1003
IOCTL_INTERNAL_MOUSE_DISCONNECT	0xf0403
IOCTL_INTERNAL_MOUSE_ENABLE	0xf0803
IOCTL_INTERNAL_PARALLEL_CLEAR_CHIP_MODE	0x160050
IOCTL_INTERNAL_PARALLEL_CONNECT_INTERRUPT	0x160034
IOCTL_INTERNAL_PARALLEL_DISCONNECT_INTERRUPT	0x160038
IOCTL_INTERNAL_PARALLEL_PORT_ALLOCATE	0x16002c
IOCTL_INTERNAL_PARALLEL_PORT_FREE	0x1600a0
IOCTL_INTERNAL_PARALLEL_SET_CHIP_MODE	0x16004c
IOCTL_INTERNAL_PARCHIP_CONNECT	0x160048
IOCTL_INTERNAL_PARCLASS_CONNECT	0x160078
IOCTL_INTERNAL_PARCLASS_DISCONNECT	0x16007c
IOCTL_INTERNAL_PARDOT3_CONNECT	0x1600a4
IOCTL_INTERNAL_PARDOT3_DISCONNECT	0x1600a8
IOCTL_INTERNAL_PARDOT3_RESET	0x1600ac
IOCTL_INTERNAL_PARDOT3_SIGNAL	0x1600b0
IOCTL_INTERNAL_REGISTER_FOR_REMOVAL_RELATIONS	0x1600c8
IOCTL_INTERNAL_RELEASE_PARALLEL_PORT_INFO	0x16003c
IOCTL_INTERNAL_SELECT_DEVICE	0x16005c
IOCTL_INTERNAL_SERENUM_REMOVE_SELF	0x370207
IOCTL_INTERNAL_UNLOCK_PORT	0x160098
IOCTL_INTERNAL_UNLOCK_PORT_NO_DESELECT	0x1600d4
IOCTL_INTERNAL_UNREGISTER_FOR_REMOVAL_RELATIONS	0x1600cc
IOCTL_INTERNAL_USB_CYCLE_PORT	0x22001f
IOCTL_INTERNAL_USB_ENABLE_PORT	0x220017
IOCTL_INTERNAL_USB_GET_BUSGUID_INFO	0x220428
IOCTL_INTERNAL_USB_GET_BUS_INFO	0x220420
IOCTL_INTERNAL_USB_GET_CONTROLLER_NAME	0x220424
IOCTL_INTERNAL_USB_GET_DEVICE_CONFIG_INFO	0x22044f
IOCTL_INTERNAL_USB_GET_DEVICE_HANDLE	0x220433
IOCTL_INTERNAL_USB_GET_DEVICE_HANDLE_EX	0x220437
IOCTL_INTERNAL_USB_GET_HUB_COUNT	0x22001b
IOCTL_INTERNAL_USB_GET_HUB_NAME	0x220020
IOCTL_INTERNAL_USB_GET_PARENT_HUB_INFO	0x22042c
IOCTL_INTERNAL_USB_GET_PORT_STATUS	0x220013
IOCTL_INTERNAL_USB_GET_ROOTHUB_PDO	0x22000f
IOCTL_INTERNAL_USB_GET_TOPOLOGY_ADDRESS	0x22043f
IOCTL_INTERNAL_USB_GET_TT_DEVICE_HANDLE	0x22043b
IOCTL_INTERNAL_USB_NOTIFY_IDLE_READY	0x220443
IOCTL_INTERNAL_USB_RECORD_FAILURE	0x22002b
IOCTL_INTERNAL_USB_REQ_GLOBAL_RESUME	0x22044b
IOCTL_INTERNAL_USB_REQ_GLOBAL_SUSPEND	0x220447
IOCTL_INTERNAL_USB_RESET_PORT	0x220007
IOCTL_INTERNAL_USB_SUBMIT_IDLE_NOTIFICATION	0x220027
IOCTL_INTERNAL_USB_SUBMIT_URB	0x220003
IOCTL_IP_ADDCHANGE_NOTIFY_REQUEST	0x66
IOCTL_IP_GET_BEST_INTERFACE	0x69
IOCTL_IP_INTERFACE_INFO	0x68
IOCTL_IP_RTCHANGE_NOTIFY_REQUEST	0x65
IOCTL_IP_SET_FIREWALL_HOOK	0x128030
IOCTL_IP_UNIDIRECTIONAL_ADAPTER_ADDRESS	0x6a
IOCTL_IR_ENTER_PRIORITY_RECEIVE	0xf608028
IOCTL_IR_ENTER_PRIORITY_RECEIVE_PARAMS	0x0000
IOCTL_IR_EXIT_PRIORITY_RECEIVE	0xf60802c
IOCTL_IR_FLASH_RECEIVER	0xf60800c
IOCTL_IR_GET_DEVCAPS	0x0000
IOCTL_IR_GET_DEV_CAPS	0xf604004
IOCTL_IR_GET_EMITTERS	0xf604008
IOCTL_IR_HANDSHAKE	0xf600024
IOCTL_IR_PRIORITY_RECEIVE	0xf604022
IOCTL_IR_RECEIVE	0xf60401a
IOCTL_IR_RESET_DEVICE	0xf608010
IOCTL_IR_SET_WAKE_PATTERN	0xf608038
IOCTL_IR_TRANSMIT	0xf608015
IOCTL_IR_USER_CLOSE	0xf608034
IOCTL_IR_USER_OPEN	0xf608030
